Run,Size,Code
0,0,0b1010
0,1,0b00
4,1,0b111011
0,2,0b01
4,2,0b1111111000
0,3,0b100
4,3,0b1111111110010110
0,4,0b1011
4,4,0b1111111110010111
0,5,0b11010
4,5,0b1111111110011000
0,6,0b1111000
4,6,0b1111111110011001
0,7,0b11111000
4,7,0b1111111110011010
0,8,0b1111110110
4,8,0b1111111110011011
0,9,0b1111111110000010
4,9,0b1111111110011100
0,10,0b1111111110000011
4,10,0b1111111110011101
1,1,0b1100
5,1,0b1111010
1,2,0b11011
5,2,0b11111110111
1,3,0b1111001
5,3,0b1111111110011110
1,4,0b111110110
5,4,0b1111111110011111
1,5,0b11111110110
5,5,0b1111111110100000
1,6,0b1111111110000100
5,6,0b1111111110100001
1,7,0b1111111110000101
5,7,0b1111111110100010
1,8,0b1111111110000110
5,8,0b1111111110100011
1,9,0b1111111110000111
5,9,0b1111111110100100
1,10,0b1111111110001000
5,10,0b1111111110100101
2,1,0b11100
6,1,0b1111011
2,2,0b11111001
6,2,0b111111110110
2,3,0b1111110111
6,3,0b1111111110100110
2,4,0b111111110100
6,4,0b1111111110100111
2,5,0b1111111110001001
6,5,0b1111111110101000
2,6,0b1111111110001010
6,6,0b1111111110101001
2,7,0b1111111110001011
6,7,0b1111111110101010
2,8,0b1111111110001100
6,8,0b1111111110101011
2,9,0b1111111110001101
6,9,0b1111111110101100
2,10,0b1111111110001110
6,10,0b1111111110101101
3,1,0b111010
7,1,0b11111010
3,2,0b111110111
7,2,0b111111110111
3,3,0b111111110101
7,3,0b1111111110101110
3,4,0b1111111110001111
7,4,0b1111111110101111
3,5,0b1111111110010000
7,5,0b1111111110110000
3,6,0b1111111110010001
7,6,0b1111111110110001
3,7,0b1111111110010010
7,7,0b1111111110110010
3,8,0b1111111110010011
7,8,0b1111111110110011
3,9,0b1111111110010100
7,9,0b1111111110110100
3,10,0b1111111110010101
7,10,0b1111111110110101
8,1,0b111111000
12,1,0b1111111010
8,2,0b111111111000000
12,2,0b1111111111011001
8,3,0b1111111110110110
12,3,0b1111111111011010
8,4,0b1111111110110111
12,4,0b1111111111011011
8,5,0b1111111110111000
12,5,0b1111111111011100
8,6,0b1111111110111001
12,6,0b1111111111011101
8,7,0b1111111110111010
12,7,0b1111111111011110
8,8,0b1111111110111011
12,8,0b1111111111011111
8,9,0b1111111110111100
12,9,0b1111111111100000
8,10,0b1111111110111101
12,10,0b1111111111100001
9,1,0b111111001
13,1,0b11111111000
9,2,0b1111111110111110
13,2,0b1111111111100010
9,3,0b1111111110111111
13,3,0b1111111111100011
9,4,0b1111111111000000
13,4,0b1111111111100100
9,5,0b1111111111000001
13,5,0b1111111111100101
9,6,0b1111111111000010
13,6,0b1111111111100110
9,7,0b1111111111000011
13,7,0b1111111111100111
9,8,0b1111111111000100
13,8,0b1111111111101000
9,9,0b1111111111000101
13,9,0b1111111111101001
9,10,0b1111111111000110
13,10,0b1111111111101010
10,1,0b111111010
14,1,0b1111111111101011
10,2,0b1111111111000111
14,2,0b1111111111101100
10,3,0b1111111111001000
14,3,0b1111111111101101
10,4,0b1111111111001001
14,4,0b1111111111101110
10,5,0b1111111111001010
14,5,0b1111111111101111
10,6,0b1111111111001011
14,6,0b1111111111110000
10,7,0b1111111111001100
14,7,0b1111111111110001
10,8,0b1111111111001101
14,8,0b1111111111110010
10,9,0b1111111111001110
14,9,0b1111111111110011
10,10,0b1111111111001111
14,10,0b1111111111110100
11,1,0b1111111001
15,1,0b1111111111110101
11,2,0b1111111111010000
15,2,0b1111111111110110
11,3,0b1111111111010001
15,3,0b1111111111110111
11,4,0b1111111111010010
15,4,0b1111111111111000
11,5,0b1111111111010011
15,5,0b1111111111111001
11,6,0b1111111111010100
15,6,0b1111111111111010
11,7,0b1111111111010101
15,7,0b1111111111111011
11,8,0b1111111111010110
15,8,0b1111111111111100
11,9,0b1111111111010111
15,9,0b1111111111111101
11,10,0b1111111111011000
15,10,0b1111111111111110
15,0,0b11111111001
